freq_fsweep_zeeman,signal_fsweep_zeeman
409.2,0.069439
409.201,0.0383574
409.202,0.069368
409.203,0.0555589
409.204,0.00935469
409.205,0.00353823
409.206,0.0723079
409.207,0.0382882
409.208,0.0498734
409.209,0.027527
409.21,0.0469749
409.211,0.0351463
409.212,0.0303758
409.213,0.00907744
409.214,0.0321613
409.215,0.0541576
409.216,0.0273755
409.217,0.0383451
409.218,0.0200562
409.219,0.0379148
409.22,0.0611345
409.221,0.0227393
409.222,0.0662882
409.223,0.0136664
409.224,0.0285507
409.225,0.0172641
409.226,0.0181678
409.227,0.0347454
409.228,0.0443566
409.229,0.0214374
409.23,0.0620217
409.231,0.0833974
409.232,0.0470243
409.233,0.0251818
409.234,0.0157462
409.235,0.0277538
409.236,0.060193
409.237,0.0373869
409.238,0.00864945
409.239,0.0232382
409.24,0.0206432
409.241,0.0375377
409.242,0.0327976
409.243,0.0461322
409.244,0.051098
409.245,0.0115558
409.246,0.038736
409.247,0.0264929
409.248,0.0355544
409.249,0.0316643
409.25,0.0277146
409.251,0.0487705
409.252,0.008067
409.253,0.0193835
409.254,0.0186804
409.255,0.029098
409.256,0.0331437
409.257,0.0292295
409.258,0.0671703
409.259,0.0286612
409.26,0.0449977
409.261,0.0378386
409.262,0.0728929
409.263,0.0269289
409.264,0.0590277
409.265,0.0359581
409.266,0.0253016
409.267,0.0651856
409.268,0.0225972
409.269,0.0228737
409.27,0.0123049
409.271,0.0259582
409.272,0.0419019
409.273,0.0150036
409.274,0.00728226
409.275,0.0299807
409.276,0.0605529
409.277,0.0959289
409.278,0.0362377
409.279,0.0605688
409.28,0.0581875
409.281,0.0555459
409.282,0.0537509
409.283,0.0306901
409.284,0.0235848
409.285,0.101351
409.286,0.0612134
409.287,0.103686
409.288,0.0904065
409.289,0.0756337
409.29,0.0698311
409.291,0.139414
409.292,0.160509
409.293,0.212959
409.294,0.333303
409.295,0.296342
409.296,0.497356
409.297,0.64179
409.298,0.818409
409.299,1.0344
409.3,1.11236
409.301,1.22868
409.302,1.36822
409.303,1.40021
409.304,1.44863
409.305,1.51826
409.306,1.48113
409.307,1.54993
409.308,1.51096
409.309,1.47702
409.31,1.43801
409.311,1.41867
409.312,1.38855
409.313,1.4406
409.314,1.37966
409.315,1.3855
409.316,1.37566
409.317,1.47901
409.318,1.38585
409.319,1.44407
409.32,1.49973
409.321,1.40635
409.322,1.52449
409.323,1.51644
409.324,1.4632
409.325,1.41361
409.326,1.40205
409.327,1.22921
409.328,1.14259
409.329,1.1076
409.33,0.899386
409.331,0.866936
409.332,0.785289
409.333,0.540531
409.334,0.455833
409.335,0.29359
409.336,0.287361
409.337,0.238559
409.338,0.187087
409.339,0.157144
409.34,0.0944973
409.341,0.0949363
409.342,0.0974237
409.343,0.0993501
409.344,0.0455541
409.345,0.0505064
409.346,0.0630286
409.347,0.0698888
409.348,0.0549918
409.349,0.0335879
409.35,0.0230594
409.351,0.076656
409.352,0.0574383
409.353,0.0218136
409.354,0.0353433
409.355,0.0412335
409.356,0.0196768
409.357,0.0547652
409.358,0.0567514
409.359,0.0861142
409.36,0.0211595
409.361,0.0315617
409.362,0.0171335
409.363,0.0651285
409.364,0.044959
409.365,0.013462
409.366,0.0459586
409.367,0.047927
409.368,0.0254473
409.369,0.0312259
409.37,0.0578626
409.371,0.044018
409.372,0.0419674
409.373,0.0301817
409.374,0.0302893
409.375,0.0296391
409.376,0.0413677
409.377,0.0495941
409.378,0.0616613
409.379,0.0353622
409.38,0.038187
409.381,0.0152333
409.382,0.0412413
409.383,0.0483059
409.384,0.0417384
409.385,0.00885082
409.386,0.0470615
409.387,0.0567101
409.388,0.0620767
409.389,0.0405771
409.39,0.0387957
409.391,0.0481269
409.392,0.0130838
409.393,0.0169538
409.394,0.0481988
409.395,0.020452
409.396,0.0517307
409.397,0.0518535
409.398,0.0297575
409.399,0.0506619
409.4,0.0107092
